tweet
nggak pakai masker, tinggal pakai kan enak, kok ribet push up/sita ktp #indonesiaterserah
Kesel gw liat kelakuan oarang ngak bisa dibilangin. Kemarin lewat kalijodo malem hari itu lautan manusia ngak ada yg pake masker dan ngak ada jaga jarak. Kejadian yang sama di pantai pik hari ini dimana orang ramai banyak yg tidak pakai masker. #indonesiaterserah #COVID19
Positif covid-19 nambah 2.000 kasus, KATANYA pengen cepet selesai, tapi NYATANYA maskeran aja yang dimaskeri lehernya bukan mulut atau hidungnya, ampun dah. #COVID__19 #indonesiaterserah #indonesiamelawancovid19
New normal? Okeee stay safe yaa smua trus jangan lupa tetep pake masker plis jangan bolot.. #newnormal #pedulicovid #indonesiaterserah
@e100ss yg nikahan, rame rame.. Gak pake masker.. Semoga pernikahannya lancar.. Semoga gak ada yang nyumbang covid-19 #indonesiaterserah  https://t.co/82OfCbZmxu
@DKIJakarta @aniesbaswedan @dinkesJKT @DishubDKI_JKT @Disdik_DKI @Disnaketransdki @BangAriza Coba check GOr sunter tiap sabtu dan minggu 6 pagi dan 4 sore. Masa di kumpulkan untuk senam aerobik. Rame2 penularan covid. Pake masker cmn buat dokumentasi saja
New normal itu artinya ap ya?? Baru normal, Atau Normal yang baru... Kayaknye pemahaman mereka itu baru normal deh. Soalnya sudah tak ada lagi jaga jarak, tak ada lagi masker saat becanda dan ngobrol, dan tak mau lagi diam di rumah..  #indonesiaterserah
apa gunanya pake masker, kalo pemerintah nyuruh kita newnormal?  #indonesiaterserah
Itu yg nyebar hoax pasti lg panen transferan. Lah pd berhasil kan? Pasien pdp maupun positiv nekad kabur, yg meninggal keluarganya nekad jemput, menolak rapid test, ogah pk masker, ngumpul2 rame2. Ya udahlah. Selamatkan diri msg2 aja dah. #IndonesiaTerserah suka2 kao je lah.
@nirmalakp Susah juga si, untuk di kasi tau juga percuma.   Untuk patuh menggunakan masker aja harus ada yg negor dulu baru make.   Jadi #indonesiaterserah
apa enaknya olahraga pake masker, lari2 engap gtu pake masker. Terserah 🤔#indonesiaterserah  https://t.co/eusPhr6u8h
Sekarang anda berada di Zona.. Dimana Masker lbh penting daripada Helm.!!😷 #jamanedan #indonesiaterserah  #pesonaCOVID19 #wonderfulcorona  #lekasmembaikbumiku
Dari pada di bebasin malah bikin tambah sulit .... kenapa gk di manfaatin aja di perkerjakan untuk buat masker kah tau apa lah untuk membantu ketika masa sulit ini  kan mereka sudah di isolasi di penjara kann malah lebih aman bagi mereka ?  #Indonesia  #indonesiaterserah  https://t.co/bsiX8x90dy
Kesel bgt d pasar dekat rumah penjualnya bnyk bgt yang nga pakai masker sembari berjualan. Kok ga perduli bgt ya sama kesehatan diri dan orang sekitar? #indonesiaterserah
kawasan wajib shalat 5 waktu di masjid BUKAN WAJIB PAKAI MASKER!   cc: @jokowi @ridwankamil #indonesiaterserah  #DisiplinProtokolNewNormal  #COVIDー19  #NewNormalIslamiPilihannya  #NewsUpdate  https://t.co/rWPPMiXjky
"Klo lu masih aja keliaran and gk mau ngikutin apa kata pemerintah pake masker,jaga jarak,terserah lu dah.mungkin tim medis sama pemerintah pengin ngomong begini sma lu "" PULANG SANA LU ,TUHAN LU DAH NYARIIN "" #indonesiaterserah"
Pemberitaan heboh nampilin jumlah korban positif yang bertambah di Surabaya. Dan pada kenyataannya makin banyak orang yg sudah gak peduli sama aturan. Salah satunya “TIDAK PAKAI MASKER”  #indonesiaterserah
Semoga kita dijauhkan dari Virus dan didekatkan dengan yg serius.  tag: #DiRumahAja #StayAtHome #PakaiMasker #IndonesiaTerserah #NewNormal #VirusCorona #Lockdown #COVID19 #covid-19 #trendingtopic #trendingnews #indonesiaterserah #IndonesiaMelawanCovid19   https://t.co/lLYYAOzA8D
Kemarin sore aku liat polisi sedang partoli dipasar agar berjaga jarak dan menggunakan masker, tapi polisinya sendiri yang ga pakek masker #indonesiaterserah  #IndonesiaAbnormal
cara memakai masker yang baik dan benar versi plecident. #Indonesiaterserah  https://t.co/XqTIgYDgt1
"#IndonesiaAbnormal #bacotansantuy kenapa dibaca ""jang-ng-ngan"" bukan dibaca ""jan-gan"" ???, karena rokok lebih efektif daripada pake masker dan jalan2 ke mall lebih asik daripada social distancing #indonesiaterserah"
Tiga Alasan Orang Tidak Mau Memakai MASKER: - Susah Bernapas - Susah Berbicara - Susah Dibilangin #indonesiaterserah  #IndonesiaAbnormal
Sudah banyak manusia melepas maskernya. Dan sudah banyak juga manusia melepaskan nyawanya.  #IndonesiaAbnormal #indonesiaterserah
